country_id,country
1,United States
2,India
3,South Korea
4,China
5,Bulgaria
6,Spain
7,Canada
8,Chile
9,United Kingdom
10,Denmark
11,Sweden
12,Netherlands
13,Belgium
14,France
15,Uruguay
16,Thailand
17,Pakistan
18,Turkey
19,Brazil
20,Italy
21,Indonesia
22,Hong Kong
23,Morocco
24,Mexico
25,Vietnam
26,Argentina
27,Nigeria
28,Germany
29,Greece
30,Norway
31,Ireland
32,Switzerland
33,United Arab Emirates
34,Japan
35,Cambodia
36,Russia
37,Israel
38,Australia
39,Portugal
40,Egypt
41,Taiwan
42,Austria
43,Senegal
44,Soviet Union
45,Peru
46,Ukraine
47,Malaysia
48,South Africa
49,Nepal
50,Philippines
51,Poland
52,Serbia
53,Czech Republic
54,Singapore
55,Luxembourg
56,West Germany
57,Cayman Islands
58,New Zealand
59,Venezuela
60,Jordan
61,Saudi Arabia
62,Iceland
63,Malta
64,Lebanon
65,Qatar
66,Iran
67,Colombia
68,Iraq
69,Liechtenstein
70,Albania
71,Slovakia
72,Samoa
73,Ghana
74,Finland
75,Botswana
76,Hungary
77,Guatemala
78,Malawi
79,Paraguay
80,Somalia
81,Kenya
82,Sudan
83,Sri Lanka
84,Dominican Republic
85,Panama
86,Romania
87,Latvia
88,Uganda
89,Slovenia
90,Croatia
91,Montenegro
92,Bangladesh
93,Vatican City
94,East Germany
95,Afghanistan
96,Namibia
97,Zimbabwe
98,Cuba
99,Azerbaijan
100,Nicaragua
101,Georgia
102,Kazakhstan
103,Armenia
104,Mongolia
105,Bermuda
106,Ecuador
107,Syria
108,Kuwait
