date_id,date
1,1-Jan-08
2,2-Jan-08
3,3-Jan-08
4,4-Jan-08
5,5-Jan-08
6,6-Jan-08
7,7-Jan-08
8,8-Jan-08
9,9-Jan-08
10,10-Jan-08
11,11-Jan-08
12,12-Jan-08
13,13-Jan-08
14,14-Jan-08
15,15-Jan-08
16,16-Jan-08
17,17-Jan-08
18,18-Jan-08
19,19-Jan-08
20,20-Jan-08
21,21-Jan-08
22,22-Jan-08
23,23-Jan-08
24,24-Jan-08
25,25-Jan-08
26,26-Jan-08
27,27-Jan-08
28,28-Jan-08
29,29-Jan-08
30,30-Jan-08
31,31-Jan-08
32,1-Feb-08
33,2-Feb-08
34,3-Feb-08
35,4-Feb-08
36,5-Feb-08
37,6-Feb-08
38,7-Feb-08
39,8-Feb-08
40,9-Feb-08
41,10-Feb-08
42,11-Feb-08
43,12-Feb-08
44,13-Feb-08
45,14-Feb-08
46,15-Feb-08
47,16-Feb-08
48,17-Feb-08
49,18-Feb-08
50,19-Feb-08
51,20-Feb-08
52,21-Feb-08
53,22-Feb-08
54,23-Feb-08
55,24-Feb-08
56,25-Feb-08
57,26-Feb-08
58,27-Feb-08
59,28-Feb-08
60,29-Feb-08
61,1-Mar-08
62,2-Mar-08
63,3-Mar-08
64,4-Mar-08
65,5-Mar-08
66,6-Mar-08
67,7-Mar-08
68,8-Mar-08
69,9-Mar-08
70,10-Mar-08
71,11-Mar-08
72,12-Mar-08
73,13-Mar-08
74,14-Mar-08
75,15-Mar-08
76,16-Mar-08
77,17-Mar-08
78,18-Mar-08
79,19-Mar-08
80,20-Mar-08
81,21-Mar-08
82,22-Mar-08
83,23-Mar-08
84,24-Mar-08
85,25-Mar-08
86,26-Mar-08
87,27-Mar-08
88,28-Mar-08
89,29-Mar-08
90,30-Mar-08
91,31-Mar-08
92,1-Apr-08
93,2-Apr-08
94,3-Apr-08
95,4-Apr-08
96,5-Apr-08
97,6-Apr-08
98,7-Apr-08
99,8-Apr-08
100,9-Apr-08
101,10-Apr-08
102,11-Apr-08
103,12-Apr-08
104,13-Apr-08
105,14-Apr-08
106,15-Apr-08
107,16-Apr-08
108,17-Apr-08
109,18-Apr-08
110,19-Apr-08
111,20-Apr-08
112,21-Apr-08
113,22-Apr-08
114,23-Apr-08
115,24-Apr-08
116,25-Apr-08
117,26-Apr-08
118,27-Apr-08
119,28-Apr-08
120,29-Apr-08
121,30-Apr-08
122,1-May-08
123,2-May-08
124,3-May-08
125,4-May-08
126,5-May-08
127,6-May-08
128,7-May-08
129,8-May-08
130,9-May-08
131,10-May-08
132,11-May-08
133,12-May-08
134,13-May-08
135,14-May-08
136,15-May-08
137,16-May-08
138,17-May-08
139,18-May-08
140,19-May-08
141,20-May-08
142,21-May-08
143,22-May-08
144,23-May-08
145,24-May-08
146,25-May-08
147,26-May-08
148,27-May-08
149,28-May-08
150,29-May-08
151,30-May-08
152,31-May-08
153,1-Jun-08
154,2-Jun-08
155,3-Jun-08
156,4-Jun-08
157,5-Jun-08
158,6-Jun-08
159,7-Jun-08
160,8-Jun-08
161,9-Jun-08
162,10-Jun-08
163,11-Jun-08
164,12-Jun-08
165,13-Jun-08
166,14-Jun-08
167,15-Jun-08
168,16-Jun-08
169,17-Jun-08
170,18-Jun-08
171,19-Jun-08
172,20-Jun-08
173,21-Jun-08
174,22-Jun-08
175,23-Jun-08
176,24-Jun-08
177,25-Jun-08
178,26-Jun-08
179,27-Jun-08
180,28-Jun-08
181,29-Jun-08
182,30-Jun-08
183,1-Jul-08
184,2-Jul-08
185,3-Jul-08
186,4-Jul-08
187,5-Jul-08
188,6-Jul-08
189,7-Jul-08
190,8-Jul-08
191,9-Jul-08
192,10-Jul-08
193,11-Jul-08
194,12-Jul-08
195,13-Jul-08
196,14-Jul-08
197,15-Jul-08
198,16-Jul-08
199,17-Jul-08
200,18-Jul-08
201,19-Jul-08
