release_year_id,release_year
1,1942
2,1944
3,1945
4,1946
5,1947
6,1954
7,1955
8,1956
9,1958
10,1959
11,1960
12,1962
13,1964
14,1965
15,1966
16,1967
17,1968
18,1969
19,1970
20,1971
21,1972
22,1973
23,1974
24,1975
25,1976
26,1977
27,1978
28,1979
29,1980
30,1981
31,1982
32,1983
33,1984
34,1985
35,1986
36,1987
37,1988
38,1989
39,1990
40,1991
41,1992
42,1993
43,1994
44,1995
45,1996
46,1997
47,1998
48,1999
49,2000
50,2001
51,2002
52,2003
53,2004
54,2005
55,2006
56,2007
57,2008
58,2009
59,2010
60,2011
61,2012
62,2013
63,2014
64,2015
65,2016
66,2017
67,2018
68,2019
69,2020
