show_id,title,description
81145628,Norm of the North: King Sized Adventure,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
80125979,#realityhigh,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
70304989,Automata,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
80164077,Fabrizio Copano: Solo pienso en mi,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
70304990,Good People,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
70299204,Kidnapping Mr. Heineken,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
80057969,Love,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
80060297,Manhattan Romance,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
80046728,Moonwalkers,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing."
70304988,Stonehearst Asylum,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
80057700,The Runner,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
80045922,6 Years,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
70241607,Laddaland,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity."
80988892,Next Gen,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
80239639,Sierra Burgess Is A Loser,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
80159586,The Most Assassinated Woman in the World,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
80152447,Cézanne et moi,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
81154455,Article 15,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
81052275,Ee Nagaraniki Emaindi,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
80058026,Hell and Back,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
70303496,PK,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
80162141,Hard Tide,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
80095641,Elstree 1976,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
80159880,ATM,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
81016044,Bangkok Traffic (Love) Story,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
80158838,I Fine... Thank You... Love You,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan."
