show_id,listed_in_id
81145628,1
81145628,2
80125979,2
80125979,3
80125979,4
70304989,5
70304989,6
70304989,7
80164077,8
80164077,9
70304990,10
70304990,7
70299204,10
70299204,11
70299204,5
80057969,12
80057969,11
80057969,13
80060297,2
80060297,13
80060297,14
80046728,10
80046728,2
80046728,5
70304988,15
70304988,7
80057700,11
80057700,13
80045922,11
80045922,13
80045922,14
80045922,16
80045922,17
70241607,15
70241607,5
80988892,1
80988892,2
80988892,6
80239639,2
80239639,14
80159586,11
80159586,5
80159586,7
80152447,11
80152447,13
80152447,5
80152447,17
81154455,11
81154455,5
81154455,7
81154455,13
81052275,2
81052275,5
81052275,14
81052275,18
81052275,19
80058026,10
80058026,2
80058026,13
70303496,2
70303496,11
70303496,5
80162141,11
80162141,13
80095641,20
80159880,2
80159880,5
80159880,14
81016044,2
81016044,5
81016044,14
80158838,2
80158838,5
80158838,14
81016045,11
81016045,5
81016045,14
70142798,15
70142798,5
70062814,15
70062814,5
80158839,2
80158839,5
80147760,2
80147760,11
80177405,8
80177405,17
80177405,18
81160036,11
81160036,13
81160036,5
81173255,15
81078908,11
81078908,14
81155784,2
81155784,11
81155784,5
80201906,10
80201906,6
80052612,2
80052612,5
80052612,14
80052612,18
80052612,21
81054495,8
70212504,1
70212504,11
70212504,17
80187061,11
80187061,5
80187061,22
80187061,3
80187061,16
80187061,18
80198585,10
70233894,10
70233894,5
81011955,11
81011955,13
81011955,5
80128722,15
80128722,7
80128722,17
80128722,18
80104068,11
80104068,14
80104068,5
80104068,22
80104068,3
80104068,18
80019931,1
80019931,23
80019931,5
80200087,5
80200087,7
81002850,11
81002850,5
81004470,10
81004470,5
81004470,6
80157072,10
80157072,11
80157072,24
80157072,4
81002864,2
81002864,5
81002864,14
81016750,15
81016750,5
81002866,11
81002866,5
81002866,14
81002866,25
81002866,18
81132443,2
81132443,5
81132443,17
80231903,11
80231903,6
80231903,7
80231903,3
80231903,18
80231903,23
80231903,26
81012295,11
81012295,13
81012295,5
80060037,11
80060037,13
80060037,5
60003155,1
60003155,11
60003155,27
81177238,5
81177238,14
70270775,10
70270775,11
70270775,5
70270775,3
70270775,4
80215923,10
80151483,8
80173625,20
80173625,5
81075519,10
81075519,11
81075519,5
80166318,1
80166318,2
81186758,2
