,title,imdb_user_review,imdb_critic_review,tomato_critic_review,tomato_user_review
0,Norm of the North: King Sized Adventure,3.1,N/A,N/A,36
1,#REALITYHIGH,5.2,N/A,N/A,N/A
2,Automata,6.1,37,N/A,30
3,Fabrizio Copano: Solo pienso en mi,4.9,N/A,N/A,N/A
4,Good People,5.5,42,N/A,N/A
5,Kidnapping Mr. Heineken,6.1,33,N/A,N/A
6,Love,6.1,51,N/A,60
7,Manhattan Romance,5.6,N/A,N/A,58
8,Moonwalkers,6.1,39,N/A,N/A
9,Stonehearst Asylum,6.8,52,N/A,N/A
10,The Runner,4.7,39,N/A,N/A
11,6 Years,5.6,53,N/A,N/A
12,Laddaland,6.3,N/A,N/A,N/A
13,Next Gen,6.6,N/A,N/A,80
14,Sierra Burgess Is a Loser,5.8,60,N/A,61
15,The Most Assassinated Woman in the World,5.3,N/A,N/A,86
16,Cezanne et Moi,6,54,N/A,N/A
17,Article 15,8.2,N/A,N/A,89
18,Ee Nagaraniki Emaindi,7.9,N/A,N/A,N/A
19,Hell and Back,5.4,N/A,N/A,0
20,PK,8.1,N/A,N/A,76
21,Hard Tide,4.7,N/A,N/A,100
22,Elstree 1976,5.9,66,N/A,81
23,ATM,4.7,34,N/A,12
24,Bangkok Traffic (Love) Story,7.2,N/A,N/A,N/A
25,I Fine..Thank You Love You,7,N/A,N/A,N/A
26,One Day,7,48,N/A,42
27,Phobia 2,6.7,N/A,N/A,58
28,Shutter,7.1,N/A,N/A,59
29,SuckSeed,7.5,N/A,N/A,N/A
30,Carrie Pilby,6.6,52,N/A,62
31,Marc Maron: Too Real,7.2,N/A,N/A,80
32,Saawan,7,N/A,N/A,N/A
33,The Heretics,4.7,N/A,N/A,0
34,The World We Make,5.1,N/A,N/A,N/A
35,Watchman,5.1,N/A,N/A,N/A
36,Black Panther,7.3,88,N/A,48
37,Man Up,6.8,69,N/A,N/A
38,Mo Gilligan: Momentum,6.2,N/A,N/A,N/A
39,Big Miracle,6.5,61,N/A,75
40,The Mayor,5.5,N/A,N/A,N/A
41,The Debt Collector,5.7,N/A,N/A,74
42,Act of Vengeance,5.5,N/A,N/A,54
43,Paradise Lost,7.2,N/A,N/A,N/A
44,Gerald's Game,6.6,77,N/A,N/A
45,Our Souls at Night,6.9,69,N/A,90
46,"Monster High: Boo York, Boo York",6.6,N/A,N/A,N/A
47,Domino,4.4,40,N/A,18
48,5cm,7.9,N/A,N/A,N/A
49,The Wild Thornberrys,6.7,N/A,N/A,N/A
50,Hold the Dark,5.6,63,N/A,70
51,Single,7.2,N/A,N/A,N/A
52,The 3rd Eye,5.1,N/A,N/A,N/A
53,The Sinking of Van Der Wijck,7.6,N/A,N/A,N/A
